City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
475,Comodoro Rivadavia,AR,62.46,clear sky,-45.8667,-67.5,Austral Hotel
477,Payo,ID,78.48,overcast clouds,-3.7508,103.6372,Mess keban agung
478,Manicore,BR,72.57,overcast clouds,-5.8092,-61.3003,Hotel Durval
479,Eyl,SO,71.74,broken clouds,7.9803,49.8164,Amiin Hotel
480,Alice Springs,AU,81.95,clear sky,-23.7,133.8833,Desert Palms Alice Springs
482,San Cristobal,VE,69.98,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
484,Rafai,CF,66.51,overcast clouds,4.95,23.9167,
488,Butia,BR,68.36,scattered clouds,-30.1197,-51.9622,Restaurante e Churrascaria Santo Antonio Ltda
490,Charters Towers,AU,87.22,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
492,Guadalajara,MX,64.98,broken clouds,20.6667,-103.3333,Hotel Aranzazú
493,Boffa,GN,69.39,scattered clouds,10.1667,-14.0333,Hôtel Niara Belly
494,Vao,NC,80.73,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
496,Alta Floresta,BR,71.65,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
499,Mahibadhoo,MV,81.43,scattered clouds,3.7833,72.9667,Omadhoo Inn
503,Bo Rai,TH,88.77,broken clouds,12.5728,102.5371,Baiboon Resort
504,Omboue,GA,75.79,clear sky,-1.5746,9.2618,Hotel Olako
505,San Policarpo,PH,82.44,overcast clouds,12.1791,125.5072,Agapita M. Nicart
508,Lahaina,US,78.8,few clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
514,Coquimbo,CL,62.33,overcast clouds,-29.9533,-71.3436,Hostel Del Puerto
515,Katobu,ID,89.73,broken clouds,-4.9408,122.5276,La Ode Husein
516,Camacha,PT,62.53,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
517,Kavaratti,IN,78.15,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
519,Harper,LR,77.45,moderate rain,4.375,-7.7169,Screensaver
520,Bima,ID,86.29,scattered clouds,-8.4667,118.7167,Lambitu Hotel
523,Contai,IN,68.16,broken clouds,21.7786,87.7536,PATHFINDER
524,Cayenne,GF,80.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
528,Limon,CR,73.36,few clouds,10.0,-83.0333,Hotel Playa Bonita
529,Ewa Beach,US,76.69,few clouds,21.3156,-158.0072,Uncle Junior Robert
530,Diapaga,BF,66.81,clear sky,12.0708,1.7889,
531,Arandis,,60.46,overcast clouds,-22.4167,14.9667,Paradise valley
532,Padang,ID,84.25,overcast clouds,-0.9492,100.3543,Mercure Padang
534,Ibra,OM,66.79,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
541,Pombas,CV,67.78,clear sky,17.1503,-25.0201,Paul Paradis
544,Gorontalo,ID,88.81,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
546,Inongo,CD,74.16,overcast clouds,-1.95,18.2667,Hotel Du Lac
547,Panguna,PG,82.0,light rain,-6.3164,155.4848,
